"Url_suurEelnou"	"Url_vaikeEelnou"	"Id_custom"	"Tyyp_custom"	"Staatus"	"Akti_valjaandja"	"Akti_liik"	"Pealkiri"	"Reg_nr"	"Koostaja"	"Koostamise_kp"	"Ettekandja"
"http://info.raad.tartu.ee/webaktid.nsf/web/gpunid/GC2257ED20030C63DC2257E70001D07B1?OpenDocument"	"http://info.raad.tartu.ee/webaktid.nsf/web/gpunid/GC2257ED20030C63DC2257E59001E997A?OpenDocument"	"266"	"Väike eelnõu"	"Lõpetatud"	"Tartu Linnavalitsus"	"Istungi protokolli kantav otsus"	"Tartu Linnavolikogule otsuse ""Nõmme tn 17a ja Nõmme tn 17b kruntide detailplaneeringu kehtestamine"" eelnõu esitamine"	"LV-IP-0168"	"Ave Elken"	"03.06.2015"	"Urmas Ahven"
"http://info.raad.tartu.ee/webaktid.nsf/web/gpunid/GC2257ED20030C63DC2257E70001CFF49?OpenDocument"	"http://info.raad.tartu.ee/webaktid.nsf/web/gpunid/GC2257ED20030C63DC2257E3B002250F7?OpenDocument"	"267"	"Väike eelnõu"	"Lõpetatud"	"Tartu Linnavalitsus"	"Istungi protokolli kantav otsus"	"Aardla tn 23e // 23h krundi detailplaneeringu kehtestamine"	"LV-IP-0136"	"Ruth Kurss"	"04.05.2015"	"Urmas Ahven"
"http://info.raad.tartu.ee/webaktid.nsf/web/gpunid/GC2257ED20030C63DC2257E70001CF647?OpenDocument"	"http://info.raad.tartu.ee/webaktid.nsf/web/gpunid/GC2257ED20030C63DC2257E5900247CC1?OpenDocument"	"268"	"Väike eelnõu"	"Lõpetatud"	"Tartu Linnavalitsus"	"Istungi protokolli kantav otsus"	"Tartu Linnavolikogule otsuse ""Loa andmine lapsehoiukohtade ja lapsehoiuteenuse pakkumise projektis osalemiseks"" eelnõu esitamine"	"LV-IP-0173"	"Liisi Varik"	"03.06.2015"	"Riho Raave"
"http://info.raad.tartu.ee/webaktid.nsf/web/gpunid/GC2257ED20030C63DC2257E70001CEDEC?OpenDocument"	"http://info.raad.tartu.ee/webaktid.nsf/web/gpunid/GC2257ED20030C63DC2257E5E004F4993?OpenDocument"	"269"	"Väike eelnõu"	"Lõpetatud"	"Tartu Linnavalitsus"	"Istungi protokolli kantav otsus"	"Loa andmine riigihangete korraldamiseks"	"LV-IP-0183"	"Riina Lill"	"08.06.2015"	"Andres Pool"
"http://info.raad.tartu.ee/webaktid.nsf/web/gpunid/GC2257ED20030C63DC2257E70001CE430?OpenDocument"	"http://info.raad.tartu.ee/webaktid.nsf/web/gpunid/GC2257ED20030C63DC2257E5B00272C2B?OpenDocument"	"270"	"Väike eelnõu"	"Lõpetatud"	"Tartu Linnavalitsus"	"Istungi protokolli kantav otsus"	"Loa andmine riigihanke korraldamiseks"	"LV-IP-0181"	"Riina Lill"	"05.06.2015"	"Rein Haak"
"http://info.raad.tartu.ee/webaktid.nsf/web/gpunid/GC2257ED20030C63DC2257E70001CDC1F?OpenDocument"	"http://info.raad.tartu.ee/webaktid.nsf/web/gpunid/GC2257ED20030C63DC2257E5A0025893A?OpenDocument"	"271"	"Väike eelnõu"	"Lõpetatud"	"Tartu Linnavalitsus"	"Istungi protokolli kantav otsus"	"Tartu Linnavolikogu otsuse ""Loa andmine projektis ""Tartu raudteejaama arendamine ja ligipääsetavuse suurendamine"" osalemiseks"" esitamine"	"LV-IP-0177"	"Anneli Säälik"	"04.06.2015"	"Rein Haak"
"http://info.raad.tartu.ee/webaktid.nsf/web/gpunid/GC2257ED20030C63DC2257E70001CD0E4?OpenDocument"	"http://info.raad.tartu.ee/webaktid.nsf/web/gpunid/GC2257ED20030C63DC2257E4C00395B6F?OpenDocument"	"272"	"Väike eelnõu"	"Lõpetatud"	"Tartu Linnavalitsus"	"Istungi protokolli kantav otsus"	"Loa andmine riigihangete korraldamiseks"	"LV-IP-0157"	"Riina Lill"	"21.05.2015"	"Rein Haak"
"http://info.raad.tartu.ee/webaktid.nsf/web/gpunid/GC2257ED20030C63DC2257E70001C989B?OpenDocument"	"http://info.raad.tartu.ee/webaktid.nsf/web/gpunid/GC2257ED20030C63DC2257E59003AC054?OpenDocument"	"273"	"Väike eelnõu"	"Lõpetatud"	"Tartu Linnavalitsus"	"Istungi protokolli kantav otsus"	"Tartu Linnavolikogule otsuse ""Tartu Linnavolikogu 14. aprilli 2011. a otsuse nr 190 ""Tartu Tamme Gümnaasiumi põhimäärus"" kehtetuks tunnistamine"" eelnõu esitamine"	"LV-IP-0174"	"Kairit Peekman"	"03.06.2015"	"Riho Raave"
"http://info.raad.tartu.ee/webaktid.nsf/web/gpunid/GC2257ED20030C63DC2257E70001C74A6?OpenDocument"	"http://info.raad.tartu.ee/webaktid.nsf/web/gpunid/GC2257ED20030C63DC2257E5700211DF5?OpenDocument"	"274"	"Väike eelnõu"	"Lõpetatud"	"Tartu Linnavalitsus"	"Istungi protokolli kantav otsus"	"Tartu Linnavolikogu otsuse ""Tartu linna arengukava muutmisettepanekute ja eelarvestrateegia projekti heakskiitmine ja avalikule väljapanekule suunamine"" eelnõu esitamine"	"LV-IP-0164"	"Imbi Lang"	"01.06.2015"	"Urmas Ahven"
"http://info.raad.tartu.ee/webaktid.nsf/web/gpunid/GC2257ED20030C63DC2257E70001C6524?OpenDocument"	"http://info.raad.tartu.ee/webaktid.nsf/web/gpunid/GC2257ED20030C63DC2257E440023DCAB?OpenDocument"	"275"	"Väike eelnõu"	"Lõpetatud"	"Tartu Linnavalitsus"	"Istungi protokolli kantav otsus"	"Tartu linna 2014. a majandusaasta aruanne ja Tartu linna arengukava 2014. a ülesannete täitmise aruanne"	"LV-IP-0146"	"Marje Kinko"	"13.05.2015"	"Jarno Laur  ja Kajar Lember"
"http://info.raad.tartu.ee/webaktid.nsf/web/gpunid/GC2257ED20030C63DC2257E4D001E315A?OpenDocument"	"http://info.raad.tartu.ee/webaktid.nsf/web/gpunid/GC2257ED20030C63DC2257E00002AEE5E?OpenDocument"	"276"	"Väike eelnõu"	"Lõpetatud"	"Tartu Linnavalitsus"	"Istungi protokolli kantav otsus"	"Tartu Linnavolikogule otsuse ""Tartu Linnavolikogu 5. novembri 1998. a otsuse nr 257 ""Tartu Laste Turvakodu põhimääruse kinnitamine"" kehtetuks tunnistamine"" eelnõu esitamine"	"LV-IP-0067"	"Kätlin Kolk"	"06.03.2015"	"Tiina Kruuse"
"http://info.raad.tartu.ee/webaktid.nsf/web/gpunid/GC2257ED20030C63DC2257E4D001E03D8?OpenDocument"	"http://info.raad.tartu.ee/webaktid.nsf/web/gpunid/GC2257ED20030C63DC2257E3600480570?OpenDocument"	"277"	"Väike eelnõu"	"Lõpetatud"	"Tartu Linnavalitsus"	"Istungi protokolli kantav otsus"	"Linnavolikogu otsuse ""Linnaliste piirkondade arendamise meetme raames esitatud projektide garanteerimine"" esitamine"	"LV-IP-0134"	"Liisi Varik"	"29.04.2015"	"Rein Haak"
"http://info.raad.tartu.ee/webaktid.nsf/web/gpunid/GC2257ED20030C63DC2257E4D001DF9C1?OpenDocument"	"http://info.raad.tartu.ee/webaktid.nsf/web/gpunid/GC2257ED20030C63DC2257E2D004D4F81?OpenDocument"	"278"	"Väike eelnõu"	"Lõpetatud"	"Tartu Linnavalitsus"	"Istungi protokolli kantav otsus"	"Tartu Linnavolikogule otsuse"" Tartu linna transpordi arengukava 2012-2020 muudatuste heakskiitmine ja avalikule väljapanekule suunamine"" eelnõu esitamine"	"LV-IP-0118"	"Kadi Kivi"	"20.04.2015"	"Rein Haak"
"http://info.raad.tartu.ee/webaktid.nsf/web/gpunid/GC2257ED20030C63DC2257E4D001DDFA5?OpenDocument"	"http://info.raad.tartu.ee/webaktid.nsf/web/gpunid/GC2257ED20030C63DC2257E11004AEE0F?OpenDocument"	"279"	"Väike eelnõu"	"Lõpetatud"	"Tartu Linnavalitsus"	"Istungi protokolli kantav otsus"	"Tartu Linnavolikogule otsuse ""Ihaste tee 18 krundi detailplaneeringu eskiislahenduse avaliku arutelu korraldamine ja keskkonnamõju strateegilise hindamise algatamata jätmine"" eelnõu esitamine"	"LV-IP-0079"	"Liis Randmets"	"23.03.2015"	"Urmas Ahven"
"http://info.raad.tartu.ee/webaktid.nsf/web/gpunid/GC2257ED20030C63DC2257E4D001DD4CB?OpenDocument"	"http://info.raad.tartu.ee/webaktid.nsf/web/gpunid/GC2257ED20030C63DC2257E190044E1BE?OpenDocument"	"280"	"Väike eelnõu"	"Lõpetatud"	"Tartu Linnavalitsus"	"Istungi protokolli kantav otsus"	"Riia tn 181, Ringtee tn 75 ja 75h kruntide detailplaneeringu vastuvõtmine, avalikule väljapanekule suunamine ja keskkonnamõju strateegilise hindamise algatamata jätmine"	"LV-IP-0094"	"Ruth Kurss"	"31.03.2015"	"Urmas Ahven"
"http://info.raad.tartu.ee/webaktid.nsf/web/gpunid/GC2257ED20030C63DC2257E4D001DC54D?OpenDocument"	"http://info.raad.tartu.ee/webaktid.nsf/web/gpunid/GC2257ED20030C63DC2257D8700471D20?OpenDocument"	"281"	"Väike eelnõu"	"Lõpetatud"	"Tartu Linnavalitsus"	"Istungi protokolli kantav otsus"	"Lossi tn 38 krundi ja lähiala detailplaneeringu vastuvõtmine ja avalikule väljapanekule suunamine"	"LV-IP-0323"	""	"05.11.2014"	"Urmas Ahven"
"http://info.raad.tartu.ee/webaktid.nsf/web/gpunid/GC2257ED20030C63DC2257E4D001DBBC8?OpenDocument"	"http://info.raad.tartu.ee/webaktid.nsf/web/gpunid/GC2257ED20030C63DC2257E220020162E?OpenDocument"	"282"	"Väike eelnõu"	"Lõpetatud"	"Tartu Linnavalitsus"	"Istungi protokolli kantav otsus"	"Tartu Linnavolikogule otsuse ""Nõmme tn 17a ja Nõmme tn 17b kruntide detailplaneeringu vastuvõtmine ja avalikule väljapanekule suunamine"" eelnõu esitamine"	"LV-IP-0100"	"Liis Randmets"	"09.04.2015"	"Urmas Ahven"
"http://info.raad.tartu.ee/webaktid.nsf/web/gpunid/GC2257ED20030C63DC2257E4D001DB099?OpenDocument"	"http://info.raad.tartu.ee/webaktid.nsf/web/gpunid/GC2257ED20030C63DC2257E28002A6351?OpenDocument"	"283"	"Väike eelnõu"	"Lõpetatud"	"Tartu Linnavalitsus"	"Istungi protokolli kantav otsus"	"Riia tn 193 krundi ja lähiala detailplaneeringu vastuvõtmine, avalikule väljapanekule suunamine"	"LV-IP-0111"	"Ruth Kurss"	"15.04.2015"	"Urmas Ahven"
"http://info.raad.tartu.ee/webaktid.nsf/web/gpunid/GC2257ED20030C63DC2257E4D001DA53F?OpenDocument"	"http://info.raad.tartu.ee/webaktid.nsf/web/gpunid/GC2257ED20030C63DC2257E3D00428845?OpenDocument"	"284"	"Väike eelnõu"	"Lõpetatud"	"Tartu Linnavalitsus"	"Istungi protokolli kantav otsus"	"Tartu Linnavolikogule otsuse ""Tuule tn 2b krundi detailplaneeringu vastuvõtmine ja avalikule väljapanekule suunamine"" eelnõu esitamine"	"LV-IP-0140"	"Ave Elken"	"06.05.2015"	"Urmas Ahven"
"http://info.raad.tartu.ee/webaktid.nsf/web/gpunid/GC2257ED20030C63DC2257E4D001D9921?OpenDocument"	"http://info.raad.tartu.ee/webaktid.nsf/web/gpunid/GC2257ED20030C63DC2257E200047244B?OpenDocument"	"285"	"Väike eelnõu"	"Lõpetatud"	"Tartu Linnavalitsus"	"Istungi protokolli kantav otsus"	"Filosoofi tn 9 krundi detailplaneeringu kehtestamine"	"LV-IP-0098"	"Ruth Kurss"	"07.04.2015"	"Urmas Ahven"
"http://info.raad.tartu.ee/webaktid.nsf/web/gpunid/GC2257ED20030C63DC2257E4D001D6CC9?OpenDocument"	"http://info.raad.tartu.ee/webaktid.nsf/web/gpunid/GC2257ED20030C63DC2257E2C0062150B?OpenDocument"	"286"	"Väike eelnõu"	"Lõpetatud"	"Tartu Linnavalitsus"	"Istungi protokolli kantav otsus"	"Tartu Linnavolikogule otsuse „Loa andmine riigihanke „Aktiivõppe programmid Tartu põhikoolide ja gümnaasiumite õpilastele õppeaastateks 2015/2016 - 2016/2017” korraldamiseks” eelnõu esitamine"	"LV-IP-0115"	"Kairit Peekman"	"19.04.2015"	"Riho Raave"
"http://info.raad.tartu.ee/webaktid.nsf/web/gpunid/GC2257ED20030C63DC2257E4D001D328C?OpenDocument"	"http://info.raad.tartu.ee/webaktid.nsf/web/gpunid/GC2257ED20030C63DC2257E27001E51C1?OpenDocument"	"287"	"Väike eelnõu"	"Lõpetatud"	"Tartu Linnavalitsus"	"Istungi protokolli kantav otsus"	"Tartu Linnavolikogu otsuse ""Loa andmine riigihanke ""Elektrienergia ostmine Tartu linnale 01.01.2016 kuni 31.12.2017 korraldamiseks"" eelnõu esitamine"	"LV-IP-0109"	"Leelo Sahk-Jansen"	"14.04.2015"	"Kunnar Jürgenson"
